category,variable,varrSize,timesPointedTo,timesDereferenced,timesWrittenTo,timesReadFrom
1004,Rotation,4,0,0,0,0
1142,OldScale,8,0,0,0,0
1142,OldTranslation,8,0,0,0,0
1004,Scale,8,0,0,0,0
1004,Translation,8,0,0,0,0
1144,ColliderPtr,8,0,0,0,0
1144,UIComponentPtr,8,0,0,0,0
1144,Matrix,64,0,0,0,0
1144,Dirty Flag,1,0,0,0,0
1007,Rotation,4,0,0,0,0
1144,OldScale,8,0,0,0,0
1144,OldTranslation,8,0,0,0,0
1007,Scale,8,0,0,0,0
1007,Translation,8,0,0,0,0
1146,ColliderPtr,8,0,0,0,0
1146,UIComponentPtr,8,0,0,0,0
1146,Matrix,64,0,0,0,0
1146,Dirty Flag,1,0,0,0,0
1007,Rotation,4,0,0,0,0
1146,OldScale,8,0,0,0,0
1146,OldTranslation,8,0,0,0,0
1007,Scale,8,0,0,0,0
1007,Translation,8,0,0,0,0
1154,ColliderPtr,8,0,1,2,1
1154,UIComponentPtr,8,0,0,2,122
1154,Matrix,64,0,0,0,0
1154,Dirty Flag,1,0,0,302,60
1153,Rotation,4,0,0,59,59
1153,Scale,8,0,0,0,4
1153,Translation,8,0,0,121,8740
1153,Scale,8,0,0,1,184
1153,Translation,8,0,0,121,8882
1156,ColliderPtr,8,0,61,2,60
1156,UIComponentPtr,8,0,0,2,61
1156,Matrix,64,0,0,0,0
1156,Dirty Flag,1,0,0,123,60
1155,Rotation,4,0,0,0,0
1155,Scale,8,0,0,59,4163
1155,Translation,8,0,0,1,5
1155,Scale,8,0,0,60,4231
1155,Translation,8,0,0,1,4236
1158,ColliderPtr,8,0,0,2,1
1158,UIComponentPtr,8,0,0,2,2
1158,Matrix,64,0,0,0,0
1158,Dirty Flag,1,0,0,64,60
1157,Rotation,4,0,0,0,0
1157,Scale,8,0,0,0,1
1157,Translation,8,0,0,1,4
1157,Scale,8,0,0,1,1
1157,Translation,8,0,0,1,84
1159,ColliderPtr,8,0,0,0,0
1159,UIComponentPtr,8,0,0,0,0
1159,Matrix,64,0,0,0,0
1159,Dirty Flag,1,0,0,0,0
1002,Rotation,4,0,0,0,0
1159,OldScale,8,0,0,0,0
1159,OldTranslation,8,0,0,0,0
1002,Scale,8,0,0,0,0
1002,Translation,8,0,0,0,0
1161,ColliderPtr,8,0,0,0,0
1161,UIComponentPtr,8,0,0,0,0
1161,Matrix,64,0,0,0,0
1161,Dirty Flag,1,0,0,0,0
1004,Rotation,4,0,0,0,0
1161,OldScale,8,0,0,0,0
1161,OldTranslation,8,0,0,0,0
1004,Scale,8,0,0,0,0
1004,Translation,8,0,0,0,0
1163,ColliderPtr,8,0,0,0,0
1163,UIComponentPtr,8,0,0,0,0
1163,Matrix,64,0,0,0,0
1163,Dirty Flag,1,0,0,0,0
1002,Rotation,4,0,0,0,0
1163,OldScale,8,0,0,0,0
1163,OldTranslation,8,0,0,0,0
1002,Scale,8,0,0,0,0
1002,Translation,8,0,0,0,0
1149,ColliderPtr,8,0,0,2,0
1149,UIComponentPtr,8,0,0,2,133
1149,Matrix,64,0,0,0,0
1149,Dirty Flag,1,0,0,402,134
1148,Rotation,4,0,0,133,0
1149,OldScale,8,0,0,0,0
1148,Translation,8,0,0,132,139
1148,Scale,8,0,0,0,0
1148,Translation,8,0,0,133,139
1150,ColliderPtr,8,0,0,2,0
1150,UIComponentPtr,8,0,0,2,133
1150,Matrix,64,0,0,0,0
1150,Dirty Flag,1,0,0,402,134
1148,Rotation,4,0,0,133,0
1150,OldScale,8,0,0,0,0
1148,Translation,8,0,0,132,139
1148,Scale,8,0,0,0,0
1148,Translation,8,0,0,133,139
1151,ColliderPtr,8,0,0,2,0
1151,UIComponentPtr,8,0,0,2,133
1151,Matrix,64,0,0,0,0
1151,Dirty Flag,1,0,0,402,134
1148,Rotation,4,0,0,133,0
1151,OldScale,8,0,0,0,0
1148,Translation,8,0,0,132,139
1148,Scale,8,0,0,0,0
1148,Translation,8,0,0,133,139
1152,ColliderPtr,8,0,0,2,0
1152,UIComponentPtr,8,0,0,2,133
1152,Matrix,64,0,0,0,0
1152,Dirty Flag,1,0,0,402,134
1148,Rotation,4,0,0,133,0
1152,OldScale,8,0,0,0,0
1148,Translation,8,0,0,132,139
1148,Scale,8,0,0,0,0
1148,Translation,8,0,0,133,139
1172,ColliderPtr,8,0,0,0,0
1172,UIComponentPtr,8,0,0,0,0
1172,Matrix,64,0,0,0,0
1172,Dirty Flag,1,0,0,0,0
1002,Rotation,4,0,0,0,0
1172,OldScale,8,0,0,0,0
1172,OldTranslation,8,0,0,0,0
1002,Scale,8,0,0,0,0
1002,Translation,8,0,0,0,0
1174,ColliderPtr,8,0,0,0,0
1174,UIComponentPtr,8,0,0,0,0
1174,Matrix,64,0,0,0,0
1174,Dirty Flag,1,0,0,0,0
1007,Rotation,4,0,0,0,0
1174,OldScale,8,0,0,0,0
1174,OldTranslation,8,0,0,0,0
1007,Scale,8,0,0,0,0
1007,Translation,8,0,0,0,0
1176,ColliderPtr,8,0,0,0,0
1176,UIComponentPtr,8,0,0,0,0
1176,Matrix,64,0,0,0,0
1176,Dirty Flag,1,0,0,0,0
1004,Rotation,4,0,0,0,0
1176,OldScale,8,0,0,0,0
1176,OldTranslation,8,0,0,0,0
1004,Scale,8,0,0,0,0
1004,Translation,8,0,0,0,0
1181,ColliderPtr,8,0,0,0,0
1181,UIComponentPtr,8,0,0,0,0
1181,Matrix,64,0,0,0,0
1181,Dirty Flag,1,0,0,0,0
1007,Rotation,4,0,0,0,0
1181,OldScale,8,0,0,0,0
1181,OldTranslation,8,0,0,0,0
1007,Scale,8,0,0,0,0
1007,Translation,8,0,0,0,0
1183,ColliderPtr,8,0,0,0,0
1183,UIComponentPtr,8,0,0,0,0
1183,Matrix,64,0,0,0,0
1183,Dirty Flag,1,0,0,0,0
1004,Rotation,4,0,0,0,0
1183,OldScale,8,0,0,0,0
1183,OldTranslation,8,0,0,0,0
1004,Scale,8,0,0,0,0
1004,Translation,8,0,0,0,0
1169,ColliderPtr,8,0,3,2,3
1169,UIComponentPtr,8,0,0,2,215
1169,Matrix,64,0,0,0,0
1169,Dirty Flag,1,0,0,647,144
1153,Rotation,4,0,0,143,143
1153,Scale,8,0,0,2,196
1153,Translation,8,0,0,212,20952
1153,Scale,8,0,0,3,447
1153,Translation,8,0,0,212,21094
1170,ColliderPtr,8,0,147,2,144
1170,UIComponentPtr,8,0,0,2,147
1170,Matrix,64,0,0,0,0
1170,Dirty Flag,1,0,0,293,144
1155,Rotation,4,0,0,0,0
1155,Scale,8,0,0,143,9875
1155,Translation,8,0,0,2,7738
1155,Scale,8,0,0,144,9943
1155,Translation,8,0,0,3,9946
1171,ColliderPtr,8,0,0,2,1
1171,UIComponentPtr,8,0,0,2,4
1171,Matrix,64,0,0,0,0
1171,Dirty Flag,1,0,0,150,144
1157,Rotation,4,0,0,0,0
1157,Scale,8,0,0,0,1
1157,Translation,8,0,0,2,158
1157,Scale,8,0,0,1,1
1157,Translation,8,0,0,3,189
1185,ColliderPtr,8,0,0,0,0
1185,UIComponentPtr,8,0,0,0,0
1185,Matrix,64,0,0,0,0
1185,Dirty Flag,1,0,0,0,0
1004,Rotation,4,0,0,0,0
1185,OldScale,8,0,0,0,0
1185,OldTranslation,8,0,0,0,0
1004,Scale,8,0,0,0,0
1004,Translation,8,0,0,0,0
1179,ColliderPtr,8,0,0,2,0
1179,UIComponentPtr,8,0,0,2,1
1179,Matrix,64,0,0,0,0
1179,Dirty Flag,1,0,0,153,150
1178,Rotation,4,0,0,0,0
1179,OldScale,8,0,0,0,0
1178,Translation,8,0,0,1,4
1178,Scale,8,0,0,0,0
1178,Translation,8,0,0,1,127
1189,ColliderPtr,8,0,0,0,0
1189,UIComponentPtr,8,0,0,0,0
1189,Matrix,64,0,0,0,0
1189,Dirty Flag,1,0,0,0,0
1002,Rotation,4,0,0,0,0
1189,OldScale,8,0,0,0,0
1189,OldTranslation,8,0,0,0,0
1002,Scale,8,0,0,0,0
1002,Translation,8,0,0,0,0
1191,ColliderPtr,8,0,0,0,0
1191,UIComponentPtr,8,0,0,0,0
1191,Matrix,64,0,0,0,0
1191,Dirty Flag,1,0,0,0,0
1004,Rotation,4,0,0,0,0
1191,OldScale,8,0,0,0,0
1191,OldTranslation,8,0,0,0,0
1004,Scale,8,0,0,0,0
1004,Translation,8,0,0,0,0
1180,ColliderPtr,8,0,0,2,0
1180,UIComponentPtr,8,0,0,2,1
1180,Matrix,64,0,0,0,0
1180,Dirty Flag,1,0,0,165,162
1178,Rotation,4,0,0,0,0
1180,OldScale,8,0,0,0,0
1178,Translation,8,0,0,1,4
1178,Scale,8,0,0,0,0
1178,Translation,8,0,0,1,105
1194,ColliderPtr,8,0,0,0,0
1194,UIComponentPtr,8,0,0,0,0
1194,Matrix,64,0,0,0,0
1194,Dirty Flag,1,0,0,0,0
1002,Rotation,4,0,0,0,0
1194,OldScale,8,0,0,0,0
1194,OldTranslation,8,0,0,0,0
1002,Scale,8,0,0,0,0
1002,Translation,8,0,0,0,0
1188,ColliderPtr,8,0,0,2,0
1188,UIComponentPtr,8,0,0,2,1
1188,Matrix,64,0,0,0,0
1188,Dirty Flag,1,0,0,213,210
1187,Rotation,4,0,0,0,0
1188,OldScale,8,0,0,0,0
1187,Translation,8,0,0,1,4
1187,Scale,8,0,0,0,0
1187,Translation,8,0,0,1,7
1193,ColliderPtr,8,0,0,2,0
1193,UIComponentPtr,8,0,0,2,1
1193,Matrix,64,0,0,0,0
1193,Dirty Flag,1,0,0,149,146
1187,Rotation,4,0,0,0,0
1193,OldScale,8,0,0,0,0
1187,Translation,8,0,0,1,4
1187,Scale,8,0,0,0,0
1187,Translation,8,0,0,1,7
1196,ColliderPtr,8,0,0,0,0
1196,UIComponentPtr,8,0,0,0,0
1196,Matrix,64,0,0,0,0
1196,Dirty Flag,1,0,0,0,0
1007,Rotation,4,0,0,0,0
1196,OldScale,8,0,0,0,0
1196,OldTranslation,8,0,0,0,0
1007,Scale,8,0,0,0,0
1007,Translation,8,0,0,0,0
1165,ColliderPtr,8,0,0,2,0
1165,UIComponentPtr,8,0,0,2,491
1165,Matrix,64,0,0,0,0
1165,Dirty Flag,1,0,0,1476,492
1148,Rotation,4,0,0,491,0
1165,OldScale,8,0,0,0,0
1148,Translation,8,0,0,490,497
1148,Scale,8,0,0,0,0
1148,Translation,8,0,0,491,497
1166,ColliderPtr,8,0,0,2,0
1166,UIComponentPtr,8,0,0,2,491
1166,Matrix,64,0,0,0,0
1166,Dirty Flag,1,0,0,1476,492
1148,Rotation,4,0,0,491,0
1166,OldScale,8,0,0,0,0
1148,Translation,8,0,0,490,497
1148,Scale,8,0,0,0,0
1148,Translation,8,0,0,491,497
1167,ColliderPtr,8,0,0,2,0
1167,UIComponentPtr,8,0,0,2,491
1167,Matrix,64,0,0,0,0
1167,Dirty Flag,1,0,0,1476,492
1148,Rotation,4,0,0,491,0
1167,OldScale,8,0,0,0,0
1148,Translation,8,0,0,490,497
1148,Scale,8,0,0,0,0
1148,Translation,8,0,0,491,497
1168,ColliderPtr,8,0,0,2,0
1168,UIComponentPtr,8,0,0,2,491
1168,Matrix,64,0,0,0,0
1168,Dirty Flag,1,0,0,1476,492
1148,Rotation,4,0,0,491,0
1168,OldScale,8,0,0,0,0
1148,Translation,8,0,0,490,497
1148,Scale,8,0,0,0,0
1148,Translation,8,0,0,491,497
1198,ColliderPtr,8,0,0,0,0
1198,UIComponentPtr,8,0,0,0,0
1198,Matrix,64,0,0,0,0
1198,Dirty Flag,1,0,0,0,0
1002,Rotation,4,0,0,0,0
1198,OldScale,8,0,0,0,0
1198,OldTranslation,8,0,0,0,0
1002,Scale,8,0,0,0,0
1002,Translation,8,0,0,0,0
1210,ColliderPtr,8,0,0,0,0
1210,UIComponentPtr,8,0,0,0,0
1210,Matrix,64,0,0,0,0
1210,Dirty Flag,1,0,0,0,0
1007,Rotation,4,0,0,0,0
1210,OldScale,8,0,0,0,0
1210,OldTranslation,8,0,0,0,0
1007,Scale,8,0,0,0,0
1007,Translation,8,0,0,0,0
1204,ColliderPtr,8,0,3,2,3
1204,UIComponentPtr,8,0,0,2,754
1204,Matrix,64,0,0,0,0
1204,Dirty Flag,1,0,0,1951,399
1153,Rotation,4,0,0,398,398
1153,Scale,8,0,0,2,1117
1153,Translation,8,0,0,751,58465
1153,Scale,8,0,0,3,1212
1153,Translation,8,0,0,751,58606
1205,ColliderPtr,8,0,403,2,399
1205,UIComponentPtr,8,0,0,2,403
1205,Matrix,64,0,0,0,0
1205,Dirty Flag,1,0,0,804,399
1155,Rotation,4,0,0,0,0
1155,Scale,8,0,0,398,27484
1155,Translation,8,0,0,3,14225
1155,Scale,8,0,0,399,27552
1155,Translation,8,0,0,4,27542
1206,ColliderPtr,8,0,0,2,1
1206,UIComponentPtr,8,0,0,2,5
1206,Matrix,64,0,0,0,0
1206,Dirty Flag,1,0,0,406,399
1157,Rotation,4,0,0,0,0
1157,Scale,8,0,0,0,1
1157,Translation,8,0,0,3,269
1157,Scale,8,0,0,1,1
1157,Translation,8,0,0,4,485
1207,ColliderPtr,8,0,0,2,0
1207,UIComponentPtr,8,0,0,2,1
1207,Matrix,64,0,0,0,0
1207,Dirty Flag,1,0,0,408,405
1178,Rotation,4,0,0,0,0
1207,OldScale,8,0,0,0,0
1178,Translation,8,0,0,1,4
1178,Scale,8,0,0,0,0
1178,Translation,8,0,0,1,148
1208,ColliderPtr,8,0,0,2,0
1208,UIComponentPtr,8,0,0,2,1
1208,Matrix,64,0,0,0,0
1208,Dirty Flag,1,0,0,398,395
1178,Rotation,4,0,0,0,0
1208,OldScale,8,0,0,0,0
1178,Translation,8,0,0,1,4
1178,Scale,8,0,0,0,0
1178,Translation,8,0,0,1,146
1209,ColliderPtr,8,0,0,2,0
1209,UIComponentPtr,8,0,0,2,1
1209,Matrix,64,0,0,0,0
1209,Dirty Flag,1,0,0,390,387
1178,Rotation,4,0,0,0,0
1209,OldScale,8,0,0,0,0
1178,Translation,8,0,0,1,4
1178,Scale,8,0,0,0,0
1178,Translation,8,0,0,1,266
1212,ColliderPtr,8,0,0,2,0
1212,UIComponentPtr,8,0,0,2,1
1212,Matrix,64,0,0,0,0
1212,Dirty Flag,1,0,0,277,274
1187,Rotation,4,0,0,0,0
1212,OldScale,8,0,0,0,0
1187,Translation,8,0,0,1,4
1187,Scale,8,0,0,0,0
1187,Translation,8,0,0,1,7
1213,ColliderPtr,8,0,0,2,0
1213,UIComponentPtr,8,0,0,2,1
1213,Matrix,64,0,0,0,0
1213,Dirty Flag,1,0,0,213,210
1187,Rotation,4,0,0,0,0
1213,OldScale,8,0,0,0,0
1187,Translation,8,0,0,1,4
1187,Scale,8,0,0,0,0
1187,Translation,8,0,0,1,7
1214,ColliderPtr,8,0,0,2,0
1214,UIComponentPtr,8,0,0,2,1
1214,Matrix,64,0,0,0,0
1214,Dirty Flag,1,0,0,149,146
1187,Rotation,4,0,0,0,0
1214,OldScale,8,0,0,0,0
1187,Translation,8,0,0,1,4
1187,Scale,8,0,0,0,0
1187,Translation,8,0,0,1,7
1200,ColliderPtr,8,0,0,2,0
1200,UIComponentPtr,8,0,0,2,884
1200,Matrix,64,0,0,0,0
1200,Dirty Flag,1,0,0,2655,885
1148,Rotation,4,0,0,884,0
1200,OldScale,8,0,0,0,0
1148,Translation,8,0,0,883,890
1148,Scale,8,0,0,0,0
1148,Translation,8,0,0,884,890
1201,ColliderPtr,8,0,0,2,0
1201,UIComponentPtr,8,0,0,2,884
1201,Matrix,64,0,0,0,0
1201,Dirty Flag,1,0,0,2655,885
1148,Rotation,4,0,0,884,0
1201,OldScale,8,0,0,0,0
1148,Translation,8,0,0,883,890
1148,Scale,8,0,0,0,0
1148,Translation,8,0,0,884,890
1202,ColliderPtr,8,0,0,2,0
1202,UIComponentPtr,8,0,0,2,884
1202,Matrix,64,0,0,0,0
1202,Dirty Flag,1,0,0,2655,885
1148,Rotation,4,0,0,884,0
1202,OldScale,8,0,0,0,0
1148,Translation,8,0,0,883,890
1148,Scale,8,0,0,0,0
1148,Translation,8,0,0,884,890
1203,ColliderPtr,8,0,0,2,0
1203,UIComponentPtr,8,0,0,2,884
1203,Matrix,64,0,0,0,0
1203,Dirty Flag,1,0,0,2655,885
1148,Rotation,4,0,0,884,0
1203,OldScale,8,0,0,0,0
1148,Translation,8,0,0,883,890
1148,Scale,8,0,0,0,0
1148,Translation,8,0,0,884,890
997,ColliderPtr,8,0,0,1,2
997,UIComponentPtr,8,0,0,1,3768
997,Matrix,64,0,0,0,0
997,Dirty Flag,1,0,0,7536,3766
997,Rotation,4,0,0,1,0
997,Scale,8,0,0,1,2
997,Translation,8,0,0,3765,7536
997,Scale,8,0,0,2,3768
997,Translation,8,0,0,3766,7537
998,ColliderPtr,8,0,0,1,2
998,UIComponentPtr,8,0,0,1,3768
998,Matrix,64,0,0,0,0
998,Dirty Flag,1,0,0,7536,3766
998,Rotation,4,0,0,1,0
998,Scale,8,0,0,1,2
998,Translation,8,0,0,3765,3771
998,Scale,8,0,0,2,3767
998,Translation,8,0,0,3766,3771
999,ColliderPtr,8,0,0,1,2
999,UIComponentPtr,8,0,0,1,3768
999,Matrix,64,0,0,0,0
999,Dirty Flag,1,0,0,7536,3766
999,Rotation,4,0,0,1,0
999,Scale,8,0,0,1,2
999,Translation,8,0,0,3765,7536
999,Scale,8,0,0,2,3768
999,Translation,8,0,0,3766,7537
1000,ColliderPtr,8,0,0,1,2
1000,UIComponentPtr,8,0,0,1,3768
1000,Matrix,64,0,0,0,0
1000,Dirty Flag,1,0,0,7536,3766
1000,Rotation,4,0,0,1,0
1000,Scale,8,0,0,1,2
1000,Translation,8,0,0,3765,7536
1000,Scale,8,0,0,2,3768
1000,Translation,8,0,0,3766,7537
1001,ColliderPtr,8,0,0,1,2
1001,UIComponentPtr,8,0,0,1,3768
1001,Matrix,64,0,0,0,0
1001,Dirty Flag,1,0,0,7536,3766
1001,Rotation,4,0,0,1,0
1001,Scale,8,0,0,1,2
1001,Translation,8,0,0,3765,7536
1001,Scale,8,0,0,2,3768
1001,Translation,8,0,0,3766,7537
1002,ColliderPtr,8,0,0,1,1
1002,UIComponentPtr,8,0,0,1,2
1002,Matrix,64,0,0,0,0
1002,Dirty Flag,1,0,0,3770,3766
1002,Rotation,4,0,0,1,0
1002,Scale,8,0,0,0,1
1002,Translation,8,0,0,1,1
1002,Scale,8,0,0,1,1
1002,Translation,8,0,0,1,33
1116,ColliderPtr,8,0,0,0,1
1116,UIComponentPtr,8,0,0,0,3126
1116,Matrix,64,0,0,0,0
1116,Dirty Flag,1,0,0,11996,2621
1002,Rotation,4,0,0,3124,3124
1002,Scale,8,0,0,0,1
1002,Translation,8,0,0,3124,12498
1002,Scale,8,0,0,1,6250
1002,Translation,8,0,0,3125,12498
1159,ColliderPtr,8,0,0,0,1
1159,UIComponentPtr,8,0,0,0,2480
1159,Matrix,64,0,0,0,0
1159,Dirty Flag,1,0,0,9415,1978
1002,Rotation,4,0,0,2478,2478
1002,Scale,8,0,0,0,1
1002,Translation,8,0,0,2478,9914
1002,Scale,8,0,0,1,4958
1002,Translation,8,0,0,2479,9914
1198,ColliderPtr,8,0,0,0,1
1198,UIComponentPtr,8,0,0,0,1834
1198,Matrix,64,0,0,0,0
1198,Dirty Flag,1,0,0,6935,1435
1002,Rotation,4,0,0,1833,1833
1002,Scale,8,0,0,0,1
1002,Translation,8,0,0,1832,7333
1002,Scale,8,0,0,1,3667
1002,Translation,8,0,0,1833,7333
1102,ColliderPtr,8,0,0,0,1
1102,UIComponentPtr,8,0,0,0,3416
1102,Matrix,64,0,0,0,0
1102,Dirty Flag,1,0,0,13117,2872
1002,Rotation,4,0,0,3414,3414
1002,Scale,8,0,0,0,1
1002,Translation,8,0,0,3414,13658
1002,Scale,8,0,0,1,6830
1002,Translation,8,0,0,3415,13658
1120,ColliderPtr,8,0,0,0,1
1120,UIComponentPtr,8,0,0,0,3059
1120,Matrix,64,0,0,0,0
1120,Dirty Flag,1,0,0,11884,2710
1002,Rotation,4,0,0,3057,3057
1002,Scale,8,0,0,0,1
1002,Translation,8,0,0,3057,12230
1002,Scale,8,0,0,1,6116
1002,Translation,8,0,0,3058,12230
1136,ColliderPtr,8,0,0,0,1
1136,UIComponentPtr,8,0,0,0,2702
1136,Matrix,64,0,0,0,0
1136,Dirty Flag,1,0,0,10457,2354
1002,Rotation,4,0,0,2700,2700
1002,Scale,8,0,0,0,1
1002,Translation,8,0,0,2700,10802
1002,Scale,8,0,0,1,5402
1002,Translation,8,0,0,2701,10802
1172,ColliderPtr,8,0,0,0,1
1172,UIComponentPtr,8,0,0,0,2346
1172,Matrix,64,0,0,0,0
1172,Dirty Flag,1,0,0,9034,1999
1002,Rotation,4,0,0,2344,2344
1002,Scale,8,0,0,0,1
1002,Translation,8,0,0,2344,9378
1002,Scale,8,0,0,1,4690
1002,Translation,8,0,0,2345,9378
1194,ColliderPtr,8,0,0,0,1
1194,UIComponentPtr,8,0,0,0,1990
1194,Matrix,64,0,0,0,0
1194,Dirty Flag,1,0,0,7610,1643
1002,Rotation,4,0,0,1988,1988
1002,Scale,8,0,0,0,1
1002,Translation,8,0,0,1988,7954
1002,Scale,8,0,0,1,3978
1002,Translation,8,0,0,1989,7954
1094,ColliderPtr,8,0,0,0,1
